cpu_benchmark_for_recommendation_engine
"The brand_name is AMD, cpu_model is EPYC 7713P at the price of Null. The cpu_mark is 45860.0. The cpu_value is Null. The thread_mark is 2736.0. The thread_value is Null. The TDP is 225.0. The power_performance is operating at 203.82. The number of cores are 64. The socket this CPU is suitable for is SP3. This cpu is for Server. The price_per_core is Null and the thread_mark_per_dollar is Null. The thread_efficiency is 0.0596598342782381. The threadMark_per_watt is 12.16. The thermal_performance_ratio is Null. The age of the cpu is 3 and it was tested in the year 2022."
"The brand_name is AMD, cpu_model is EPYC 7763 at the price of 7299.99. The cpu_mark is 88338.0. The cpu_value is 12.1. The thread_mark is 2635.0. The thread_value is 0.36. The TDP is 280.0. The power_performance is operating at 315.49. The number of cores are 64. The socket this CPU is suitable for is SP3. This cpu is for Server. The price_per_core is 114.06234375 and the thread_mark_per_dollar is 0.3609593985745186. The thread_efficiency is 0.0298286128280015. The threadMark_per_watt is 9.410714285714286. The thermal_performance_ratio is 26.073553719008267. The age of the cpu is 4 and it was tested in the year 2021."
"The brand_name is AMD, cpu_model is EPYC 7J13 at the price of Null. The cpu_mark is 86006.0. The cpu_value is Null. The thread_mark is 2387.0. The thread_value is Null. The TDP is Null. The power_performance is operating at Null. The number of cores are 64. The socket this CPU is suitable for is Unknown. This cpu is for Server. The price_per_core is Null and the thread_mark_per_dollar is Null. The thread_efficiency is 0.0277538776364439. The threadMark_per_watt is Null. The thermal_performance_ratio is Null. The age of the cpu is 4 and it was tested in the year 2021."
"The brand_name is AMD, cpu_model is EPYC 7713 at the price of 7060.0. The cpu_mark is 85861.0. The cpu_value is 12.16. The thread_mark is 2727.0. The thread_value is 0.39. The TDP is 225.0. The power_performance is operating at 381.6. The number of cores are 64. The socket this CPU is suitable for is SP3. This cpu is for Server. The price_per_core is 110.3125 and the thread_mark_per_dollar is 0.3862606232294617. The thread_efficiency is 0.0317606363774006. The threadMark_per_watt is 12.12. The thermal_performance_ratio is 31.38157894736842. The age of the cpu is 4 and it was tested in the year 2021."
"The brand_name is AMD, cpu_model is EPYC 7B13 at the price of Null. The cpu_mark is 77460.0. The cpu_value is Null. The thread_mark is 2564.0. The thread_value is Null. The TDP is Null. The power_performance is operating at Null. The number of cores are 60. The socket this CPU is suitable for is Unknown. This cpu is for Server. The price_per_core is Null and the thread_mark_per_dollar is Null. The thread_efficiency is 0.0331009553317841. The threadMark_per_watt is Null. The thermal_performance_ratio is Null. The age of the cpu is 4 and it was tested in the year 2021."
"The brand_name is AMD, cpu_model is EPYC 7643 at the price of 5424.99. The cpu_mark is 76455.0. The cpu_value is 14.09. The thread_mark is 2695.0. The thread_value is 0.5. The TDP is 225.0. The power_performance is operating at 339.8. The number of cores are 48. The socket this CPU is suitable for is SP3. This cpu is for Server. The price_per_core is 113.020625 and the thread_mark_per_dollar is 0.4967751092628742. The thread_efficiency is 0.0352494931659145. The threadMark_per_watt is 11.977777777777778. The thermal_performance_ratio is 24.116394606103626. The age of the cpu is 4 and it was tested in the year 2021."
"The brand_name is AMD, cpu_model is EPYC 7662 at the price of 6817.0. The cpu_mark is 71576.0. The cpu_value is 10.5. The thread_mark is 2054.0. The thread_value is 0.3. The TDP is 225.0. The power_performance is operating at 318.12. The number of cores are 64. The socket this CPU is suitable for is SP3. This cpu is for Server. The price_per_core is 106.515625 and the thread_mark_per_dollar is 0.3013055596303359. The thread_efficiency is 0.0286967698669945. The threadMark_per_watt is 9.12888888888889. The thermal_performance_ratio is 30.29714285714286. The age of the cpu is 4 and it was tested in the year 2021."
"The brand_name is AMD, cpu_model is EPYC 75F3 at the price of Null. The cpu_mark is 68505.0. The cpu_value is Null. The thread_mark is 2775.0. The thread_value is Null. The TDP is 280.0. The power_performance is operating at 244.66. The number of cores are 32. The socket this CPU is suitable for is SP3. This cpu is for Server. The price_per_core is Null and the thread_mark_per_dollar is Null. The thread_efficiency is 0.0405079921173636. The threadMark_per_watt is 9.910714285714286. The thermal_performance_ratio is Null. The age of the cpu is 4 and it was tested in the year 2021."
"The brand_name is AMD, cpu_model is EPYC 7642 at the price of 3684.0. The cpu_mark is 67748.0. The cpu_value is 18.39. The thread_mark is 2155.0. The thread_value is 0.59. The TDP is 225.0. The power_performance is operating at 301.1. The number of cores are 48. The socket this CPU is suitable for is SP3. This cpu is for Server. The price_per_core is 76.75 and the thread_mark_per_dollar is 0.5849619978284474. The thread_efficiency is 0.0318090570939363. The threadMark_per_watt is 9.577777777777778. The thermal_performance_ratio is 16.373028820010877. The age of the cpu is 4 and it was tested in the year 2021."
"The brand_name is AMD, cpu_model is EPYC 7543P at the price of 2999.0. The cpu_mark is 67144.0. The cpu_value is 22.39. The thread_mark is 2742.0. The thread_value is 0.91. The TDP is 225.0. The power_performance is operating at 298.42. The number of cores are 32. The socket this CPU is suitable for is SP3. This cpu is for Server. The price_per_core is 93.71875 and the thread_mark_per_dollar is 0.9143047682560852. The thread_efficiency is 0.0408376027642082. The threadMark_per_watt is 12.186666666666667. The thermal_performance_ratio is 13.328271549799018. The age of the cpu is 4 and it was tested in the year 2021."
